Participante,Dialogo
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Proponiendo en este punto del orden del día, recibirá ese cúmulo de opiniones de su parte y las sistematizarán para hacérselas llegar a la SEP. De hecho, sus trabajos iniciarían desde mañana mismo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","La composición que se pone a su consideración y que estamos viendo en la pantalla busca ser reflejo de la composición misma de este consejo, es decir, con una representación plural de los distintos subsistemas de educación superior, de las regiones del país, de asociaciones representativas del sector. En otras palabras, busca ser un reflejo de este mismo órgano de la comisión."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Aquí quiero hacer una anotación; en la carpeta que se les envió previamente aparece una primera propuesta, pero como pueden ver en la pantalla, se está sugiriendo aquí la incorporación de una institución educativa particular como lo es el ITESO y también de un representante de los docentes. Con ellos tendríamos una comisión de trabajo con once integrantes. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, la propuesta que les estamos haciendo está proyectada en la pantalla y, como lo mencionamos, la idea es que estén todos los subsistemas representados y todos los sectores que representan a este consejo en una comisión de trece personas."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, no sé si era necesario que lo leamos o esto, pero bueno, por lo menos las instituciones, la idea es que nos acompañen la Universidad Nacional Autónoma de México, la Secretaría de Ciencia, Tecnología e Innovación, un representante de la Subsecretaría de Educación Superior, una autoridad educativa estatal de la zona noroeste y noreste, una autoridad educativa estatal de la zona centro-occidente y metropolitana, una autoridad educativa estatal de la zona centro sur y sureste, una institución educativa superior del subsistema universitario, una del subsistema tecnológico, una del subsistema de formación docente, que nos acompañe también un representante de la ANUIES, una institución de educación superior particular, un representante de los estudiantes y un representante del personal académico."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Esa sería, digamos, la composición de la comisión que estamos proponiendo para revisar todas las propuestas que lleguen de todos ustedes para el PRONÉS con el amplio margen de tiempo que les dimos para llevarlas."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Esa es la propuesta entonces, si están de acuerdo, bueno cabe mencionar que lo que está sometiendo a su consideración fue hecho del conocimiento del secretario Mario Delgado en su carácter del coordinador del CONACES para dar cumplimiento a los lineamientos de este órgano en cuanto a las comisiones."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Si no hay ningun comentario.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",(Se cortó el audio)  
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Acuerdo S.O.CONACES.16ª.6.  El CONACES aprueba la propuesta de integración de la Comisión para la actualización e instrumentación del Programa Nacional de Educación Superior, PRONES 2025-2030."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Si hubiera algún voto en contra a esta propuesta.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",(Se cortó el audio)
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","es que habíamos mandado una propuesta de 11 miembros y ya ahora se corrigió a 13, la primera propuesta era de 11. Y bueno ahí está abajo representante del personal académico César Reinaldo Ramos Gómez, docente del Instituto Tecnológico de Apizaco."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",(Se cortó el audio)
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Sí, es que le aclaramos que le habíamos mandado una propuesta con 11 miembros, pero eh al ser 13 la que nos faltaba era el doctor y por eso a lo mejor no lo encontraban en su carpeta. Está actualizada ya en la pantalla, son 13, una disculpa. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, tenemos por Zoom a Vladimir Valdez..."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",(Se cortó el audio)
Vladimir Valdez,Se cortó el audio
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","dando la mano de hace rato, pero podemos regresar sin problema si podemos ver las comisiones otra vez. Si me ayudaran a proyectar las láminas y ahorita revisamos también porque efectivamente es algo que el secretario ha insistido en cómo desde la educación superior podemos ayudar y poner un granito de arena a la formación docente. Justo la plataforma que estamos tratando de hacer para las microcredenciales, pues en gran medida hasta hoy México X se ha servido para la formación docente, es el uso más más fuerte que ha tenido, pero yo creo que desde la educación superior podemos aportar muchos contenidos."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces bueno, veamos si en alguna de estas comisiones digo, la misma cuatro puede ser porque digo es donde vamos a, digo justo…"
Vladimir Valdez,"En la cuatro podríamos tener ahí, yo creo que ahí puede haber la cuatro nos podría dar, digo y ahí empezar… Pero pensar este tema como como un tema importante para esos temas de formación docente."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Que al final es lo que más se ha hecho con la plataforma México X, la formación docente, nomás que se ha asumido desde el sistema de educación superior lo que podamos hacer para cursos de formación docente desde la educación para toda la vida, digamos. Podemos, a lo mejor ahí, si te parece Vladimir, ponemos el acento en cómo hacer una estrategia para que las instituciones de educación superior ayudemos a la formación y actualización de todos nuestros docentes, ¿no?"
Vladimir Valdez,"Me parece muy bien, sí, parece perfecto. Muchas gracias. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Excelente. Tomamos nota, entonces agregamos otra tarea más a esa comisión que tiene bien poquita chamba. Lo del marco mexicano de calificaciones es simple, ¿no? Es una cosa muy sencilla, ¿no? Que…"
Vladimir Valdez,"…para que cubran ahí los huecos, los huecos de tiempo que van a tener. Entonces, pues… se entretengan con esto de la formación docente."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Los que estén más ocupados, métanse en esa comisión, por favor. Y Marlene nos va a ayudar, casi no tiene chamba en los tecnológicos."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Muy bien, muy bien, perfecto Vladimir, tomamos nota porque, efectivamente, es algo que nos ha pedido y sí, pongo el acento: ayudemos, todo lo que tengamos de maestrías, doctorados en educación, que podamos hacer propuestas para el tema de formación docente, viene muy bien, es algo que nos ha pedido el secretario, cómo la educación superior ayuda a la formación de nuestros profesores."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, entonces nos habíamos quedado en que ya se aprobaba ese, ¿verdad? ya se votó, ¿no? Sí. ¿No? el acuerdo ya, ¿no?"
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",¿Quieres decir algo? Adelante.
Integrante,"Me queda muy claro que en la parte de los integrantes de la comisión están representados muchos subsistemas, porque tenemos muchos subsistemas en educación superior, politécnicas, autónomas, tecnológicas."
Integrante,"Yo quisiera tener una petición también al margen dentro de las universidades particulares, pues también existen eh diversas universidades que manejan desde todos los procesos de investigación como tal, completos hasta universidades profesionalizantes directamente al mercado laboral y creo que ahí no hay una equidad, en donde sí puedan estar también representadas la diversidad que hay en las universidades particulares. Es mi comentario."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, pues sí, en cada subsistema hay una diversidad, de instituciones, pero bueno, pues para poder conformar con 13 miembros, pues teníamos que agrupar, a las particulares en uno, pero habrá momentos en que podamos, digo, pues allá de tecnológicas y politécnicas y pues tiene que ir uno de alguien, pero bueno, si tomamos nota de que efectivamente entendemos que hay una gran diversidad de instituciones particulares y siempre intentaremos que todos tengan voz y sean escuchados y representados. Entonces…"
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Disculpa, perdón, pues en ALPES ustedes puedan platicar con el ITESO, sobre digo el trabajo que se hace ahí y sí, "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Ojalá y pueda haber más también comunicación y coordinación, si entendemos esa diversidad que hay, pero la hay en todos los subsistemas y pues al final tenemos que encontrar un representante, que en este caso se propuso que fuera el ITESO, pero bueno iremos tratando de que siempre se esté"
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, entonces ya votamos ese, ¿verdad? Sí. Entonces pasamos al siguiente punto del orden del día, y me siento muy honrado por poder presentar ante ustedes algo en lo que la subsecretaría que es un superior ha venido trabajando en los últimos meses, en realidad con mucho entusiasmo y convicción y que ya sido presentado tanto al secretario de educación como a la presidenta de la República."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Se trata… Listo tardamos 23 segundos, ya está abierto el sistema, para que se puedan registrar. Me informan que tuvimos un retraso de cinco segundos, pero no ya está abierto el sistema, ya pueden empezar a hacer sus registros."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, se trata de lo que hemos eh denominado la estrategia nacional para la educación superior a lo largo de la vida, la cual me gustaría sintetizarles a continuación con el ánimo de conocer lo que opinan de ella y bueno, pues si pasamos rápido a la siguiente lamina."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","y bueno, esto lo he presentado, perdón a los que ya les ha tocado escucharlo varias veces, pero hoy, aprovechando que estamos en el CONACES, algunos datos que que nos han llevado a proponer esta esta visión urgente de que las universidades cambiemos un poquito nuestro paradigma y pensemos fuera de la caja de los retos que estamos viviendo, lo primero es que hemos venido insistiendo en que una sociedad que abandona las humanidades se exilia de sí misma y el problema es que estamos abandonando las humanidades. O sea, hay una crisis fuerte de aspirantes y de matrícula en temas de las humanidades."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Hay carreras que verdaderamente están teniendo una baja de aspirantes gravísima y dramáticamente está cayendo en el mundo. Es un fenómeno, pasamos a la que sigue, "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Este, podemos ver cómo efectivamente carreras, mientras el crecimiento de la matrícula en el país fue del 37% en la última década, en programas como sociología han decrecido un 18% su matrícula, filosofía y humanidades un 16%, historia un 6%. La ciencia básica está, digamos, un poco estancada eh hay un caso dramático como el de la geografía, que solo doce universidades del país la ofertan y tiene un decrecimiento del 27%, yo creo que geografía urge cambiar los planes de estudio y adaptarlos a territorio, a medio ambiente, o sea, urge hacer una actualización."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Yo los casos que he estudiado que han recuperado matrícula, programas como geografía, es porque han replanteado el enfoque de la geografía, pero bueno, hay una crisis fuerte de las humanidades y el problema es que, por ejemplo, las ciencias básicas eh pues no están creciendo como quisiéramos. O sea, los fenómenos que suceden en otros países es que las humanidades están decayendo, pero las carreras STEM están teniendo un alto crecimiento."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","El problema de este país es que las humanidades están cayendo, la ciencia básica está estancada y lo que está creciendo es derecho, administración y contabilidad."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","O sea, a diferencia de otras partes del mundo en donde la caída de las humanidades está yendo a los STEM, en este país la caída de las humanidades tiene estancada a las STEM, pero con un crecimiento en derecho, administración y contabilidad. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces hay sociedades que ya vemos en otras latitudes que efectivamente pues las sociedades empiezan a descomponer lo que estamos viviendo en el mundo, regresiones digo, como lo podemos ver en el caso de Estados Unidos de temas como la agenda de género, de temas civilizatorios que la humanidad había avanzado, pues como empieza a tener regresiones, y la gran pregunta que yo te hago es cuando los dirigentes mundiales que empezamos a ver que empiezan a brotar, pues siempre ha habido personas que tienen actitudes dictatoriales y todo eso. El problema es cuando cientos de millones de personas votan por ellos, ahí es cuando ya empieza a preocuparme a mí lo que está sucediendo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Y yo me pregunto, ¿no habrán sido responsabilidades de las universidades de esos países que lleguen a tener esos gobernantes? si quitas la ética de los planes de estudios, si quitas el civismo, si quitas la formación integral, para meter contenidos sumamente especializantes que además cada día duran menos y te tienes que actualizar más rápido, pues yo creo que hemos cometido un error de ir quitando los contenidos que duran para toda la vida, que son los de formación integral para meter contenidos especializantes que además duran muy poquito, que hay que actualizarse hoy en Coursera o en otra plataforma cada cinco años."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces eh lo que está viviendo la humanidad yo se los digo en verdad como como una autocrítica que debemos de hacer desde los que nos dedicamos a la educación superior, esa descomposición mundial que estamos viviendo no tendremos algo de culpa las universidades y yo creo que hay que pensarlo y hay que ser autocríticos si nuestros planes de estudios nos han llevado a sociedades que están regresando a las fobias, xenofobias, a todos esos descomposiciones que vemos de cómo el mundo está regresando a la pérdida de la del sentido de lo común."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Pero aún así en esos países que perdieron la ética, las humanidades pues crecieron su economía, pues le apostaron a la especialización, a la tecnología, a la ciencia, a la ingeniería y a la matemática. El problema es que estamos eh perdiendo eso, pero estamos aquí creciendo derecho, administración y contabilidad. Y yo no sé si eso nos vaya a llevar a mejor puerto que lo que estamos viendo en otras latitudes. Entonces bueno."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Esta es una primera reflexión que les queremos, bueno, la que la siguiente lámina. Ahí está, de los 5.140.000 jóvenes que tenemos matriculados en nuestras instituciones hay más de 40.000 eh programas registrados en la SEP. Hay 128 campos formativos que tenemos y en solo 10 programas educativos tenemos concentrado el 45% de la matrícula. O sea, casi la mitad de la matrícula de los jóvenes de este país está en 10 licenciaturas."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces es lo que decíamos hace rato, la pertinencia de los programas, de la vinculación con el mercado laboral, de todo eso, pero sumado a la pérdida de las humanidades, pues sí es un combo que verdaderamente debemos de analizar qué estamos haciendo. Sí es grave el desarrollo del país si está concentrado en solo 10 programas. Pasamos a la siguiente."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Yo creo que una de las primeras cosas que tenemos que empezar a pensar es si efectivamente estudiar filosofía, según los estudios del IMCO, puede tardar hasta 43 años en recuperar tu matrícula si la estudiaste en una universidad privada, o sea, con el salario promedio de un filósofo, vas a tardar 43 años en recuperar lo que pagaste en una universidad privada por estudiar filosofía."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bajo ese esquema que es el lenguaje económico, quién quiere estudiar filosofía. El problema es que no me imagino un mundo sin filosofía y un mundo sin filósofos. Entonces defender la filosofía y defender las humanidades nos obliga a ser creativos. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Yo creo que tenemos que pensar cómo le ganamos al lenguaje económico en donde la filosofía no tiene un valor económico porque es que eso es el primer problema, que este mundo solo habla el lenguaje económico, y en las universidades hablamos otros lenguajes también, el ideológico, el político, el filosófico, el científico, pero este mundo habla solo del lenguaje económico. Entonces y lamentablemente a veces solo hablamos en ese lenguaje, en ese lenguaje, en el económico la filosofía tiene muy poco valor,  "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Pero en el mundo de la sociología, en el lenguaje sociológico, en el lenguaje político, pero la filosofía podría ser casi todo. No me imagino a un mundo, a una humanidad sin filosofía y eso nos está pasando, nos están pasando sin filósofos, y luego los que terminan estudiando filosofía, bueno, pues para empezar si lo hacen en una escuela privada tiene que ser alguien con la vida resuelta, porque estudiar filosofía es más un hobby que a lo que te puedas dedicar. Y si lo haces en una escuela pública en muchos casos, por lo menos en la universidad que yo dirigí, es gente que no pudo estudiar otra cosa y en segunda opción se fue a filosofía, por espacios vacantes."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bajo esa lógica de nuestros programas como están teniendo esta crisis que estudiar filosofía, estudiar sociología está resultando muy poco atractivo para nuestros jóvenes. Una de las cosas que yo les quiero proponer es que defendamos a las humanidades transversalizando esto, que regresemos a analizar nuestros planes de estudios y volvamos a llenar de ética, de filosofía y de formación integral nuestros planes de estudio, que esos son conocimientos que sí duran toda la vida, que sí forman ciudadanos, que sí forman seres humanos y abramos las microcredenciales y las actualizaciones en plataformas virtuales como lo está haciendo Coursera, para los contenidos específicos y especializantes. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Eso creo que va a ser más útil, porque el problema es que si bajo ese lenguaje nos vamos, efectivamente hoy un programa de cinco años resulta muy poco atractivo para un joven y si el valor de los títulos está cayendo porque cada vez ganan menos los licenciados, los maestros y los doctores y si te pagan lo mismo con un curso de programación de Python en Coursera que con una ingeniería en informática, pues empieza a perder valor el título universitario y por lo tanto empieza a perder valor social y económico en las universidades. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Pero qué lástima que el mundo se dé cuenta de que las universidades somos más que formadores para el trabajo y va a pasar lo que yo he dicho que es como el aire. Las universidades hoy están respirando, pero dejen de respirar un minuto ahorita, van como van a extrañar al aire. Ojalá y no nos pase a la humanidad que nos vayamos todos a las microcredenciales o que las universidades no las hagamos nos olvidemos de las humanidades y ahora sí como el aire, híjole qué importantes eran las universidades para tener procesos civilizatorios, no solo para formar trabajadores."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces defender a las universidades es defender nuestro rol civilizatorio, no nuestro rol como formadores de empleados. Pero para defender nuestro rol yo creo que hay que formar para el empleo y hacerlo nosotros y formar buenos ciudadanos. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces lo que yo digo es el falso paradigma de protegerlo encerrado, no, no hay que encerrar la filosofía y la sociología. Más bien hay que hacer ingenieros con mucha ética y filósofos con mucha tecnología. Eso es lo que tendremos que hacer. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces yo hace poco me tocó ir a un curso de padres porque mi hija va a entrar a la universidad, entonces hace un mes fui, acudí como padre de familia a ver el programa de estudios de la carrera de mi hija y me impresionó, me dio envidia ver cómo en el sistema jesuita tienen cinco materias y lo hacen en otros lados, que todos los estudiantes toman independientemente la carrera que lleven."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","No importa si eres médico, eres contador, eres psicólogo o relaciones internacionales. Hay cinco materias que todos los estudiantes van a cursar, o sea, casi un semestre se lo dedican, es una materia por semestre en donde se juntan médicos con contadores y con abogados y toda la currícula de una universidad tiene cinco materias y pregúntenme qué materias son: Ética, formación cívica, ciudadanía, ciudadanía global. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces no importa si formamos, o sea, las universidades nos hemos olvidado que no solo formamos profesionistas. Somos los responsables de formar seres humanos en toda la extensión de la palabra. Entonces perdón que se los diga, pero si se está descomponiendo la sociedad y cuando vemos la violencia que está sucediendo y cuando vemos lo que está sucediendo en el mundo y que regresan las guerras y que regresan, todo lo que estamos viendo que parece que vamos a regresar a lo a hace 70 años, o sea, ¿dónde está la ONU?, dónde está todo eso que fuimos formando para dejarnos de matar los seres humanos, y que fue una falsa paz que vivimos estos 70 años, 80 de cuando se creó la ONU porque nunca dejó de haber guerras, pero se está poniendo terrible el mundo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Y yo lo que digo es hagámonos responsables de eso. Porque la institución civilizatoria que formó a esos dirigentes y a esos ciudadanos que votan por esos dirigentes pasaron por nuestras aulas, por las aulas del mundo y si hoy están votando por ellos y están aceptando lo que está sucediendo en el mundo debemos las universidades ser críticos si no fue porque nuestros planes de estudios dejaron de formar a ciudadanos. En la Revolución Francesa la universidad formaba ciudadanos antes que profesionistas. Ciudadanos y después profesionistas. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces la defensa más eficaz de las humanidades para mí no es el encierro, sino la siembra. Hay que sembrar las humanidades en todos los programas de estudio. Eso sí dura toda la vida."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Segunda hipótesis, no debería ser el título universitario la única vía para una vida digna, sino el reconocimiento justo de todo saber. La dignidad no se gradúa, se protege. Entonces una sociedad que la única vía para tener una vida digna es el título universitario, esa sociedad ya no necesita más ingenieros y abogados, necesita justicia. Necesita sensibilidad, necesita empatía para aquel que no puede acceder a un título universitario."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Y si eso le mezclamos que los títulos universitarios cada vez valen menos, pues cuidado, perdón, pero sí es disruptivo que el subsecretario de Educación Superior diga que el título universitario no debe ser la única vía."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Pero estoy convencido de eso porque pasamos a la siguiente gráfica para que veamos el país que tenemos. Un país que solo le dé dignidad a los que tienen título universitario solo le da dignidad a 8,676,000 personas que son los últimos de la tabla."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Solo 8,676,797 mexicanos lograron completar un programa de estudio de educación superior. Pero ahí les dejo un reto, la penúltima columna. Hoy hay 10,338,377 mexicanos que entraron a alguna de sus instituciones y abandonaron. O sea, hay más mexicanos con carrera incompleta que con carrera completa. ¿Y quién está yendo por ellos? ¿Qué estamos haciendo por regresarlos? ¿Qué estamos haciendo por ofrecerles algo?"
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Si no es el título, otra cosa. Pero esos 10 millones de mexicanos invirtieron ya para la primaria, la secundaria, la prepa. Entraron en una universidad y no pudieron terminar. Bueno, y si nos vamos así, pues con media superior incompleta tenemos 3,535,560, con secundaria incompleta tenemos 1,832,645 y con primaria incompleta tenemos 6,827,217 mexicanos y sin escolaridad alguna tenemos 4,448,213 mexicanos."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces si la lógica de una vida digna que en la sociedad hemos puesto que el título es la única vía, pues son 8 millones contra 92 millones. Qué injusto una sociedad que no reconozca aprendizajes que hay en esos 92 millones porque hay muchísimos albañiles que saben mucho más que ingenieros civiles. El problema de este país es que nadie le da valor a esos aprendizajes informales que se dan en la vida, que se dan en lo cotidiano."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Pero todavía más grave. Hay muchísimos aprendizajes no formales que son los que se están dando en Coursera, en edX y en estas plataformas en donde ya hay más, pasamos a la siguiente. Hay 7. bueno, los últimos 10 años, 3 millones de mexicanos han abandonado nuestras aulas en los últimos 10 años, casi 300,000 por año. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Hay 300,000 seres humanos que abandonan las aulas universitarias cada año en promedio, pasamos a la siguiente. Y lo curioso es que la gran mayoría lo hace el primer año. Entonces ahí están los distintos subsistemas como desde las normales, el primer año el 11% abandona, la UPN el 14, el TecNM el 22, los Centros SECIHTI el 23, las federales el 27, las UPES el 30%, las UPEAS el 34, las interculturales el 36 y en las tecnológicas y politécnicas el 42%."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","O sea, en promedio tres de cada 10 que entran a una licenciatura abandonan el primer año. ¿Será orientación vocacional? ¿Llegan y se dan cuenta que no es lo que querían? ¿Será que llegan y se encuentran a un sistema que ya no es el que ellos eh querían, que los jóvenes de hoy quisieran algo más lúdico? ¿Quisieran algo una aula diferente? no sé ¿problemas socioeconómicos? pueden ser. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Pero lo cierto es que tres de cada diez jóvenes se salen el primer año. Llegan, ven la universidad y deciden retirarse. He venido diciendo que no es la magnitud del cambio la que extingue, sino la velocidad con la que llega, es un tema un poquito darwiniano, los cambios eh a veces no es la magnitud del cambio la que extingue algo, sino que no te dé tiempo adaptarte y las especies somos resilientes y si nos dan tiempo nos adaptamos a los cambios."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Las universidades hemos sido resilientes y nos adaptamos. El problema es que la velocidad de las tecnologías que están llegando hoy ya es mucho más que las tecnologías a las que hemos enfrentado como el teléfono o el internet. Pasamos a la siguiente. 
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Las tecnologías anteriores que hemos incorporado a la educación que han afectado el sistema educativo, sin duda pues es el teléfono que tardó 90 años en llegar a 100 millones de mexicanos, la electricidad tardó 70, el carro 60, el celular 16, la internet 7, pero el problema es que las tecnologías actuales de la inteligencia artificial en solo dos meses ChatGPT llegó a 100 millones de mexicanos y acaba la semana pasada de anunciar ChatGPT que llegó a 800 millones de seres humanos, o sea, el 10% de la población mundial ya utiliza ChatGPT en menos de dos años. Esa es la velocidad eh con la que están llegando las tecnologías. Pasamos a la siguiente. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, lo que yo les decía. Las habilidades generales para un empleo se reducen 50% cada cinco años, las habilidades técnicas específicas para un empleo el valor se reduce 100% cada cinco años. O sea, nosotros lo que hicimos fue meter habilidades generales y específicas a nuestros planes de estudio que duran cinco o diez años y sacamos etimologías grecolatinas, ética y muchas materias que eran importantes y que servían para entender el lenguaje para toda la vida y para ser un buen ciudadano. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","En cinco años desaparecerán en el mundo 92 millones de empleos y se crearán 170 millones completamente nuevos. ¿Quién se va a llevar esos empleos? Pues los países que más rápido se adapten a las nuevas tendencias para esto. Un país que está creciendo en derecho, administración y contaduría no sé si sea el país que jale los empleos que se van a crear. Pero lo cierto es que los abogados, los contadores y los administradores con la inteligencia artificial cada vez más están en peligro."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Ya hay inteligencia artificial que te predice hasta la sentencia de un juicio. No solo te hace todos los oficios y lo que necesitas pues le pones divorcio, Jalisco, por mutuo, 20 años de casados y con este patrimonio. Y la inteligencia artificial ya te hace todo el juicio. Bueno, las carreras que están creciendo en México son de las más susceptibles a que la inteligencia artificial las supla."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces de los 92 millones de empleos que van a desaparecer la gran mayoría son los programas educativos que más egresados tenemos. Lo que me pregunto es de los 170 millones de los nuevos empleos que se van a crear cuántos egresados tenemos porque no estamos formando en estas nuevas tendencias. Entonces, si no nos ponemos y replanteamos todo, lo que nos viene es la crisis humanística, pero junto con una crisis económica porque por lo menos la crisis humanística de otros lados les ha llegado con mucho dinero, pues ha sido crisis de las humanidades, pero millonarios. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Aquí puede que venga una crisis social que estamos viendo de violencia, de humanidades, pero mezclada con pobreza. Y ¿qué estamos haciendo en las universidades? Abriendo derecho, abriendo derecho y no yendo a hablar con los chavos a las prepas para tratar de hacer orientación vocacional, no estamos siendo proactivos en ir a también modificar nuestros planes de estudio más rápido. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, los aprendizajes no formales, ya les dije los informales como el de un albañil que sabe casi lo mismo que un ingeniero, pero no más no ha habido una institución que le acredité esos esos saberes. Entonces socialmente no tiene ese valor y económicamente tampoco. Y yo a todos los ingenieros civiles me ha tocado ver cómo voltean con el maestro de la obra a preguntarle “Oiga maestro y esto usted qué opina? No, sí aguanta, venga”, y esos aprendizajes nadie socialmente no los hemos reconocido y somos nosotros quién podemos reconocerlos si hacemos un esquema de reconocimiento de aprendizajes informales y no formales. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, en los no formales que son aquellos no pasamos al anterior, en los no formales están todas estas plataformas que empiezan a ofrecer, o sea, el aprendizaje formal es el sistema educativo mexicano. Lo que nosotros formalmente le damos valor y certificación. El no formal es aquel que está también diseñado para que un ser humano le enseñe a otro, digamos, hecho para para la enseñanza, pero que nadie le da valor formal, o sea, estas constancias, estas microcredenciales. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, en el aprendizaje no formal ya hay 7.3 millones de mexicanos solo en una plataforma en Coursera y 5.4 en las universidades. O sea, ya hay más mexicanos tomando cursos en de aprendizajes no formales porque nadie les va a dar una acreditación ni un valor que en las universidades. Bueno, veamos solo en Coursera en esta misma plataforma los cuatro cursos más exitosos de esta plataforma es contabilidad para no contadores, finanzas personales, álgebra básica y aprender a aprender, aprendiendo a aprender. Cuatro cursos hechos por la UNAM. "
