Participante,Dialogo
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",Acuerdo S.O.CONACES.10ª.6. Relativo al informe al que hace referencia la fracción 20 del artículo 49 de la Ley General de Educación Superior.
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Se mantiene en proceso toda vez que está por ser publicado el programa sectorial de educación, además de que la elaboración del programa nacional de educación superior está en pleno proceso."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",Ambos instrumentos establecen diagnósticos e importantes bases programáticas que se deben tomar en cuenta para la elaboración del referido informe.
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",Acuerdo S.O.CONACES.15.5. Que se refiere a la integración de comentarios al programa de trabajo 2025-2026 de este órgano colegiado. En términos de las deliberaciones de la última sesión ordinaria. 
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Al respecto, el secretariado técnico conjunto les informa que se procesaron las observaciones o propuestas de tres instancias: de la Federación de Instituciones Mexicanas Particulares de Educación Superior, la FIMPES, de la Subsecretaría de Educación Superior de la SEP y de la UNAM."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","En lo que respecta a la temática abordada por FIMPES en el apartado 10 del programa de trabajo, se agregó que el CONACES promoverá la generación y cumplimiento del marco normativo complementario, no sé si era esto a lo que te referías, querido Bernardo, ¿no? que se deriva de la Ley General de Educación Superior para fortalecer las bases jurídicas y brindar claridad y orientación a las instituciones de educación superior en la operación de los servicios educativos que prestan a las y los estudiantes."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",En lo que concierne a la propuesta de la subsecretaría de Educación Superior se agregó el punto 11 sobre orientación vocacional en la educación media superior y en la educación superior.
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Por último, a propuesta de la UNAM se incorporó el punto 12 sobre financiamiento de las instituciones públicas de educación superior."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Con ello se da cumplimiento a las deliberaciones de la sesión anterior en lo relativo a la consolidación del programa de trabajo 2025, 2026 del CONACES."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",No omito mencionar que el documento consolidado les fue enviado en la carpeta de esta sesión.
